Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
343,308,111669,SGP,M,PANG Xue Jie,1512,1517,0,12,2017
344,336,123023,BEL,M,CNUDDE Florian,1511,1450,0,12,2017
345,312,105801,BRA,M,MANHANI Humberto,1509,1509,0,12,2017
346,356,121577,TPE,M,LI Hsin-Yang,1506,1386,0,12,2017
347,315,106062,RUS,M,MERZLIKIN Taras,1501,1501,0,12,2017
348,322,120314,RUS,M,ABUSEV Artur,1498,1493,0,12,2017
348,0,132366,JPN,M,IGARASHI Fumiya,1498,1519,0,12,2017
350,315,120266,CZE,M,KUCERA Stanislav,1496,1501,0,12,2017
351,0,105098,FRA,M,LAVERGNE Paul,1491,0,0,12,2017
351,323,112452,CRO,M,FUCEC Luka,1491,1491,0,12,2017
353,324,112040,INA,M,SANTOSO Ficky,1489,1489,0,12,2017
353,326,114868,NED,M,GOMMERS Rajko,1489,1476,0,12,2017
355,314,114457,CGO,M,IDOWU Saheed,1486,1503,0,12,2017
356,315,105293,UKR,M,LIEVSHYN Vitaliy,1484,1501,0,12,2017
357,313,117032,IND,M,GANDHI Sarthak,1479,1508,0,12,2017
358,325,116424,CHI,M,LAMADRID Juan,1477,1482,0,12,2017
359,326,113478,NGR,M,ONAOLAPO Ojo,1476,1476,0,12,2017
0,0,123272,HUN,M,BOTH Levente,359,359,0,12,2017
360,328,114928,GER,M,QIU Liang,1474,1474,0,12,2017
361,329,103842,MAS,M,IBRAHIM Muhd Shakirin,1470,1470,0,12,2017
362,330,100302,KSA,M,AL-JADAI Naif,1468,1468,0,12,2017
362,330,114281,USA,M,WANG Timothy,1468,1468,0,12,2017
364,0,102247,ESP,M,DIEZ Endika,1467,0,0,12,2017
