2026-06-27 12:37:10,765 - INFO - Event 3216 already processed (directory exists: data/wtt_matches/3216), skipping
2026-06-27 12:37:10,765 - INFO - Event 3231 already processed (directory exists: data/wtt_matches/3231), skipping
2026-06-27 12:37:10,765 - INFO - Event 3232 already processed (directory exists: data/wtt_matches/3232), skipping
2026-06-27 12:37:10,765 - INFO - Event 3233 already processed (directory exists: data/wtt_matches/3233), skipping
2026-06-27 12:37:10,765 - INFO - Event 3234 already processed (directory exists: data/wtt_matches/3234), skipping
2026-06-27 12:37:10,765 - INFO - Event 3235 already processed (directory exists: data/wtt_matches/3235), skipping
2026-06-27 12:37:10,765 - INFO - Event 3236 already processed (directory exists: data/wtt_matches/3236), skipping
2026-06-27 12:37:10,765 - INFO - Event 3237 already processed (directory exists: data/wtt_matches/3237), skipping
2026-06-27 12:37:10,765 - INFO - Event 3238 already processed (directory exists: data/wtt_matches/3238), skipping
2026-06-27 12:37:10,765 - INFO - Event 3239 already processed (directory exists: data/wtt_matches/3239), skipping
2026-06-27 12:37:10,765 - INFO - Event 3240 already processed (directory exists: data/wtt_matches/3240), skipping
2026-06-27 12:37:10,765 - INFO - Creating directory: data/wtt_matches/3241
2026-06-27 12:37:10,765 - INFO - Starting processing for Event 3241 (Name: WTT Star Contender Ljubljana 2026)
2026-06-27 12:37:10,766 - INFO - Event 3241: Navigating to https://worldtabletennis.com/eventInfo?selectedTab=Matches&eventId=3241
2026-06-27 12:37:21,189 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------FNL-000100----------.json
2026-06-27 12:37:21,189 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------FNL-000100----------.json
2026-06-27 12:37:21,200 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEXDOUBLES-----------FNL-000100----------.json
2026-06-27 12:37:21,200 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------SFNL000100----------.json
2026-06-27 12:37:21,201 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------SFNL000100----------.json
2026-06-27 12:37:21,201 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------SFNL000200----------.json
2026-06-27 12:37:21,201 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------SFNL000200----------.json
2026-06-27 12:37:21,201 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMDOUBLES-----------FNL-000100----------.json
2026-06-27 12:37:21,201 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWDOUBLES-----------FNL-000100----------.json
2026-06-27 12:37:21,201 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------QFNL000200----------.json
2026-06-27 12:37:21,202 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------QFNL000300----------.json
